상가업소번호,법정동코드,지번본번지,지번부번지,상호명,지점명,상권_코드,균등분배_전용면적,리뷰수,별점,카페_추정매출
MA0101202409A0153015,1153010200,317.0,91.0,가이아카페,,3110714,153.75516344385085,4.0,5.0,169984313.73260057
MA010120220808638397,1150010100,274.0,18.0,디저트39등촌역점,,3120112,159.91788647330094,85.0,4.085,242286707.75887102
MA010120220807133123,1135010500,581.0,214.0,나우커피,,3110422,128.84573385006792,0.0,,
MA0101202305A0159365,1144011100,448.0,8.0,나눔카페나눔cafe,,3110570,126.97648755692643,0.0,4.41,244658595.99095017
MA010120220813725458,1111015900,96.0,9.0,드디어커피원남점,,3120010,150.86115728166504,20.0,3.95,96662594.75270858
MA010120220803993077,1117013100,726.0,354.0,아키비스트한남,,3110096,88.90680800266966,328.0,4.2,287479822.2022497
MA010120220800337158,1156010300,94.0,117.0,세원,,3120146,328.9935049634141,0.0,,39496653.52643063
MA010120220804928018,1159010200,493.0,10.0,시니어카페카리스,,3110837,668.9867006316922,0.0,,121071168.87914498
MA0101202305A0144330,1159010700,147.0,110.0,썸머스테어,,3120156,204.50155759990568,319.0,4.1,395746035.98342204
MA010120220800436656,1159010100,119.0,155.0,빽다방노량진학원점,,3130265,49.91440033320575,64.0,3.435,161388538.53537184
MA0101202406A0360974,1168010300,186.0,1.0,빙동댕,개포점,3130310,828.362352813548,42.0,5.0,264610314.4733773
MA010120220803457302,1111013900,40.0,1.0,로쏘,,3120005,90.17353116807702,280.0,4.529999999999999,338252612.29711556
MA010120220809973260,1150010600,703.0,,메가엠지씨커피발산,중앙점,3110649,104.42741982009818,15.0,3.705,87058408.18090111
MA010120220809306922,1165010100,876.0,21.0,템포컴퍼니,,3120164,78.16726857111016,0.0,,108160013.23839311
MA010120220814269484,1138010300,451.0,4.0,오소리커피,,3110482,74.291817110537,0.0,,7820486.01592226
MA010120220803767369,1121510300,246.0,34.0,이디도커피,코리아,3120056,98.17953595112839,0.0,5.0,36520218.01220782
MA010120220803539096,1141011800,48.0,11.0,루루홀릭,,3110525,75.82025757557193,10.0,4.51,61844031.94922079
MA0106202406A2465403,1111014800,101.0,14.0,스타벅스,북촌로,3120007,125.41578825589993,112.0,4.04,293113159.35651636
MA0101202411A0017749,1174010900,210.0,14.0,카페1532,천호점,3130322,164.02973586641903,14.0,5.0,57681761.140909106
MA010120220803418094,1150010300,1128.0,2.0,지유명차,화곡점,3110669,315.8693673372889,19.0,3.7,
MA010120220803644004,1123010700,359.0,,쎄븐,,3110200,191.3671691837716,0.0,,
MA0101202406A0281010,1123010200,782.0,,런치백,,3110183,86.58071063678523,222.0,4.0,48018836.33088608
MA010120220806385522,1117013200,195.0,,니르코브,,3110089,100.83178336691525,0.0,,
MA0101202306A0003483,1129013800,234.0,20.0,카페수,,3110325,114.71768397152945,0.0,4.52,7929360.879390869
MA010120220813385373,1135010300,513.0,39.0,니토,,3110433,87.30377576990567,59.0,4.3,31324128.284633093
MA010120220805295162,1174010100,312.0,58.0,아카,,3120248,289.48857137935886,0.0,4.37,47382601.58316996
MA010120220813246870,1138010900,341.0,1.0,파브스커피,,3110452,101.17633562787294,334.0,4.675,9706470.228802431
MA0101202406A0096804,1147010200,905.0,34.0,주캉틴파리공원점,,3120114,258.23250003444076,0.0,3.5,55798920.88704061
MA0101202308A0041457,1147010200,905.0,34.0,요거프레소,,3120114,258.23250003444076,12.0,4.75,76733142.734291
MA010120220804200830,1159010200,507.0,24.0,에버에버에프터,,3110839,153.6649073966481,524.0,4.3,738860826.1669534
MA010120220810000787,1144011100,91.0,389.0,로익스커피,,3110572,95.18685931480499,0.0,,77750119.37554896
MA010120220800807828,1135010500,436.0,3.0,카페로뎀,,3110425,527.7473309071579,0.0,4.5,35491045.76848806
MA0106202406A2465588,1141011600,30.0,33.0,스타벅스,현대신촌,3120094,591.2184625894678,164.0,4.1899999999999995,208459875.1003764
MA0101202411A0168814,1141011600,30.0,33.0,매트블랙커피,신촌점,3120094,591.2184625894678,28.0,5.0,148281590.58955848
MA010120220805237669,1141011600,30.0,33.0,통인동커피공방신촌로스팅라이브러리,,3120094,591.2184625894678,0.0,,135891943.77850774
MA0101202411A0021811,1141011600,30.0,33.0,카페아페쎄,신촌점,3120094,591.2184625894678,20.0,5.0,144741691.50068685
MA0101202406A0541753,1141011600,30.0,33.0,디비더블유디,,3120094,591.2184625894678,0.0,,135891943.77850774
MA0101202305A0135919,1141011600,30.0,33.0,대원미디어팝퍼블,신촌점,3120094,591.2184625894678,0.0,,135891943.77850774
MA0101202305A0026994,1159010500,190.0,20.0,테이큰커피,,3110840,78.76746639047754,15.0,3.0,90798022.57669042
MA010120220812166796,1168010700,578.0,1.0,컴스고스,,3120188,208.91102600363308,12.0,4.5649999999999995,101481116.76046555
MA010120220803096271,1120011400,685.0,271.0,알디파트너스투자3호,,3110120,177.09854434668122,0.0,,2894199.3529897835
MA010120220806686608,1114016500,950.0,1.0,엠커피,,3110057,42.62183891919003,22.0,4.8149999999999995,17912847.279471494
MA0101202406A0105367,1171011300,27.0,4.0,더벤티거여역점,,3120241,189.18504423947476,9.0,5.0,70267900.35480255
MA010120220808802471,1159010200,322.0,19.0,로진,,3130261,346.899398086237,0.0,,54348580.29844946
MA010120220805125884,1144010700,347.0,,커피에그리다,,3110579,75.6418583114374,3.0,5.0,21424830.712535676
MA010120220812729304,1120011300,291.0,5.0,베이크베이크,,3110102,90.5816649624699,252.0,4.5,164021294.50869367
MA0101202406A0244567,1114013400,197.0,,홍콩티,,3130032,81.65845831621888,112.0,4.3,35544041.66010266
MA010120220803495898,1114013400,197.0,,계화커피숍,,3130032,81.65845831621888,0.0,3.0,3726299.892660793
MA0101202411A0031939,1159010900,607.0,5.0,빽다방대림,성모점,3130260,509.8982791885935,5.0,4.265000000000001,195694048.14590254
MA010120220800925698,1123010800,346.0,15.0,달리는커피경희대점,,3130098,269.5861531061534,50.0,4.15,56245006.30181532
MA0101202211A0087493,1162010100,729.0,24.0,빽다방보라매타운점,,3120151,1411.1213070377278,39.0,4.279999999999999,436963893.2209378
MA010120220806782515,1111017100,129.0,1.0,커피볶는중카페김쌤,,3110021,88.26773875007393,0.0,3.3,106015857.59350166
MA0101202303A0046840,1168010400,78.0,1.0,커튼콜,,3120202,354.88087217630624,0.0,,86823509.94262707
MA010120220812233842,1171010500,156.0,6.0,감연,,3111010,129.295992894828,0.0,4.5,17777117.20316805
MA010120220811858271,1135010600,154.0,22.0,메가커피상계역점,,3110431,108.95234934695702,37.0,4.175,149124431.25045252
MA010120220804603915,1138010400,485.0,2.0,카페플로리,,3110464,100.0871080240918,18.0,4.640000000000001,15666702.485276809
MA010120220811871626,1120010900,1763.0,,카페별미당,,3110109,89.33180970079644,0.0,,3946445.113080848
MA010120220803925565,1153010200,736.0,102.0,피.알.오,,3130228,283.24359246822576,0.0,,14628581.016549427
MA010120220809716549,1121510100,615.0,1.0,번트시에나,,3110150,121.95595504190797,0.0,4.6,17779618.015385397
MA010120220814164042,1144012000,474.0,26.0,레이먼드,,3110554,101.37994403838964,336.0,4.6,62397682.50499629
MA010120220805284168,1130510200,446.0,13.0,카페1211,,3120076,1183.083507421174,0.0,4.27,181525030.00068673
MA0101202302A0061832,1138010800,71.0,12.0,카페유노이아,,3110450,109.36040825570507,24.0,5.0,23979464.023327615
MA010120220813162571,1138010800,71.0,12.0,메가샵크로플,역촌점,3110450,109.36040825570507,0.0,,13648042.55917667
MA010120220800447798,1159010100,118.0,27.0,카페커피상상,,3130265,65.04275366914963,56.0,3.67,156634213.43546054
MA0101202209A0089424,1129010100,58.0,14.0,늘,,3110285,71.20970348992361,369.0,4.800000000000001,105032586.95921071
MA010120220813468220,1144010800,3.0,35.0,방그레커피,,3110582,251.8099041071654,0.0,,109840716.7736987
MA0101202406A0202667,1150010300,995.0,11.0,필드로스터스,,3110661,106.75453274446646,53.0,5.0,
MA010120220810104248,1174010900,452.0,33.0,더카페,천호점,3111056,,3.0,4.8,8485863.742283938
MA0101202301A0081601,1162010100,37.0,2.0,버터럼,,3110896,66.77546082832521,0.0,,8302424.661234378
MA010120220804325160,1120011400,10.0,4.0,이곳에,,3110126,265.27367238748104,211.0,4.4,74193255.36885345
MA010120220802646959,1126010100,600.0,9.0,지하실,,3110259,71.79022734375741,63.0,4.95,10703715.633223299
MA010120220810171818,1168010800,145.0,8.0,애기보살,,3130303,125.91205223851337,0.0,,14187454.896031529
MA010120220805832680,1144012300,399.0,5.0,이디야망리단길점,,3110544,112.57247234816467,20.0,4.255,94109596.30318797
MA010120220801073566,1168010800,58.0,3.0,제이스커피랩,,3120191,1410.9404314778062,18.0,4.325,331997921.1630657
MA010120220809600069,1147010100,963.0,15.0,몰랑케이크,,3110612,106.0773132493022,43.0,5.0,92079010.7878326
MA0101202210A0088702,1111016600,72.0,24.0,메가엠지씨커피대학로마로니에공원점,,3110023,76.8989370201435,0.0,4.8,209132757.9877274
MA010120220814115504,1168010600,907.0,7.0,이디야커피강남,대치점,3120211,460.0415222742254,0.0,4.3,100773497.10768636
MA0101202311A0024028,1162010200,1411.0,9.0,에그브라운,신림점,3110880,223.85150334147013,30.0,4.8,
MA0101202212A0036025,1165010100,853.0,13.0,내방커피,,3110914,121.5096822249928,39.0,4.7,
MA0101202211A0035041,1174010500,370.0,15.0,언스윗데이,,3111071,106.05423201240046,0.0,,15106265.925491557
MA010120220814031278,1138010700,103.0,1.0,청자다방,,3120091,285.0155344062186,0.0,4.44,37539493.52534136
MA0101202308A0048147,1138010700,103.0,1.0,스위트커피,,3120091,285.0155344062186,0.0,,37539493.52534136
MA010120220804390158,1135010500,713.0,,디드릭,노원점,3120081,1009.0422691221345,0.0,,233842294.14541903
MA010120220806471809,1135010500,713.0,,커피스미스노원롯데,,3120081,1009.0422691221345,14.0,3.095,243608912.06390896
MA0106202206A0966721,1135010500,713.0,,공차롯데시네마노원점,코리아,3120081,1009.0422691221345,8.0,5.0,239423218.67027038
MA010120220804361293,1135010500,713.0,,엔제리너스롯데시네노원,,3120081,1009.0422691221345,62.0,3.48,277094459.21301734
MA010120220805087154,1135010500,713.0,,백미당롯데,노원점,3120081,1009.0422691221345,39.0,3.355,261049301.20406955
MA0101202310A0099127,1141010400,209.0,,드디어커피경찰청점,,3110539,230.0226442402553,0.0,,65842347.17647058
MA0106202408A0424338,1168010100,621.0,22.0,아트스페이스와이,,3110954,171.53248089206804,0.0,,658763626.3580714
MA0101202309A0011901,1132010600,687.0,34.0,메가엠지씨커피방학,중앙점,3110403,109.68702165414382,0.0,5.0,65225354.27232925
MA010120220804127125,1171011200,40.0,7.0,삼포통상주,,3111030,291.95452527668374,0.0,,43226112.86063821
MA010120220804458062,1168011800,517.0,11.0,프레스카,,3120205,219.3347298606716,40.0,4.3,342854535.9009908
MA0101202406A0239960,1162010200,542.0,26.0,파란나무,,3130277,76.7303279081787,0.0,4.59,4335682.673761781
MA010120220812657788,1114016500,2545.0,2.0,메가엠지씨커피청계천점,,3110055,730.140460792743,36.0,4.1,
MA0106202406A2465110,1159010700,1031.0,27.0,스타벅스,사당역,3130274,319.01643072066,153.0,4.29,1023813661.514627
MA010120220807159891,1174010800,427.0,44.0,그레이스카페,,3130323,112.19504931444176,4.0,4.51,11844137.491241934
MA010120220812442151,1130510300,413.0,32.0,레드라인,,3110351,87.40514699043742,0.0,4.5,
MA0101202210A0016993,1144010900,9.0,107.0,봉명동내커피,,3110582,75.80690322616154,13.0,4.0,47792782.277349435
MA010120220802978179,1154510300,262.0,1.0,매머드익스프레스,시흥동점,3110755,299.70188888391965,6.0,3.3,41757136.83388415
MA0101202209A0009916,1147010300,116.0,33.0,메가엠지씨커피곰달래,사거리점,3130203,125.5017537141778,14.0,2.1,14132719.666591495
MA0101202303A0034310,1114016200,291.0,29.0,메가엠지씨커피청구신당점,,3130051,382.7195820955136,0.0,4.3,20844855.331953622
MA010120220809815419,1174010100,47.0,6.0,빽다방고덕역점,,3120249,273.2256475661132,0.0,,98155837.4134746
MA010120220810329365,1174010100,47.0,6.0,만화까페벌툰,고덕점,3120249,273.2256475661132,0.0,3.8,98155837.4134746
MA010120220811778112,1123011000,339.0,4.0,빙고앤샐러드,,3130098,155.37111930759443,154.0,4.640000000000001,86712913.9141046
MA0101202305A0130116,1135010300,440.0,16.0,엠아이피,,3110435,252.26775977024263,0.0,,77513144.88232438
MA010120220810197408,1132010600,668.0,32.0,알레싸,,3110390,146.70271254041165,0.0,,17799979.0
MA010120220800160555,1138011400,194.0,4.0,소성,,3110492,109.02257690225967,35.0,3.595,63702170.33551468
MA010120220803576014,1165010200,80.0,6.0,아지트,,3120181,175.25414683181845,0.0,4.21,48053181.65605334
MA0101202307A0029579,1126010100,347.0,27.0,카페인코너,,3110254,76.3619532246745,0.0,,46655705.5539922
MA010120220806567953,1135010600,89.0,3.0,커피스마일,,3110441,40.22666345563434,9.0,4.805,18352511.916449223
MA010120220810237030,1168010800,254.0,,트립티,,3110968,2129.1429248184945,0.0,,57323620.005677074
MA0101202311A0012499,1168010800,253.0,1.0,아띠피네,,3110968,286.93917553605706,11.0,5.0,57996711.647702865
MA010120220800167379,1114016600,41.0,3.0,탐앤탐스대한항공서소문점,,3120020,1217.6226765544902,14.0,3.725,427501680.7118893
MA0101202303A0079682,1141011600,30.0,8.0,트리클,,3120094,165.73898858956412,199.0,4.1,369434559.9694724
MA010120220800962047,1144012100,197.0,39.0,그랑,,3120104,122.55845493443103,327.0,2.87,233552625.85487056
MA010120220806635801,1174010300,283.0,,청연,,3111089,133.0586474785243,0.0,,19614872.383239884
MA010120220803366445,1144010200,318.0,,코호,,3110583,54.27907689761226,0.0,,
MA010120220812960815,1168010400,117.0,39.0,스트라이프커피컴퍼니,,3120208,240.5724806870701,138.0,4.44,247901297.7607214
MA010120220800199512,1144012100,186.0,16.0,에프알씨스위트롤,,3110569,132.36552093535957,0.0,,88923331.2642223
MA010120220808486620,1141011900,312.0,15.0,와프트커피,,3110495,131.98679772796456,40.0,4.895,35652724.79436961
MA010120220803760970,1120010400,69.0,,바리스터코난&라나,,3130067,180.44490909295024,0.0,3.3,37683298.9747095
MA010120220803902005,1129011600,3.0,9.0,커피앤,,3120072,97.88367171431852,0.0,4.45,124935239.96481618
MA0106202201A0153481,1111016800,1.0,33.0,커피빈혜화역1번출구점,코리아,3120012,203.11803749706544,0.0,,112308186.76641652
MA010120220810039391,1147010200,408.0,58.0,호호,,3110621,82.19065875477065,0.0,,16587823.306261186
MA010120220813971579,1114011100,25.0,,엠엠티에이치소공점108호,,3001492,54.065299651448846,0.0,,1110098158.6956565
MA010120220809923227,1117013100,32.0,78.0,떼뚜,,3110098,43.00506390111695,0.0,4.3,44372250.21877283
MA0101202406A0301373,1123010600,417.0,16.0,크럼블,장한평점,3120066,180.63228629196223,330.0,4.25,318927774.97321516
MA010120220814181122,1144012300,414.0,46.0,페이브커피망원,시장점,3130186,147.0185601895183,10.0,4.3,20222388.6743857
MA0101202406A0535807,1126010500,344.0,6.0,바이오팩망우지점,,3110278,80.20898859432042,0.0,,26989596.192099445
MA0106202201A0153520,1168010100,650.0,9.0,커피빈차병원점,코리아,3120194,237.76382704374237,13.0,3.7849999999999997,135948136.16219223
MA010120220800459484,1120010700,19.0,108.0,갈십리,,3130069,108.24700075042179,0.0,,73524754.62685853
MA010120220804913570,1165010100,909.0,3.0,멀티커피,방배점,3120166,120.58374254031777,47.0,4.9,138471978.5754753
MA010120220804765259,1114012700,50.0,11.0,안나아트카페,,3120028,218.86911065465543,10.0,5.0,516002242.22234035
MA010120220812079487,1126010100,1110.0,13.0,헤르헤르,,3130112,267.0630472519953,166.0,5.0,64862347.69802556
MA010120220810125238,1144012500,72.0,3.0,맨날맨날커피,,3110552,93.5000235084923,5.0,3.7,11024205.149116572
MA010120220800380864,1156011100,55.0,,남도,,3120141,71.97466664196484,0.0,4.49,18075659.058884885
MA010120220812493360,1162010200,126.0,1.0,서림당,,3110886,80.42366450011562,16.0,4.6,48574648.12026767
MA0101202305A0170541,1111017000,31.0,20.0,비건생활연구소,,3110022,80.75921077919902,0.0,,28345478.989742134
MA0101202302A0085350,1156013300,688.0,2.0,이디야대림3동점앙크인베스트먼트,,3120139,639.8988465303677,0.0,,41982220.66842539
MA010120220800552418,1114011300,42.0,2.0,가화,,3120022,129.65161040840724,0.0,4.19,126592878.41894059
MA0101202305A0165968,1165010800,1692.0,1.0,이루팜,교대점,3120173,1324.4918474021515,46.0,3.7,333382907.6631841
MA0101202311A0056813,1117013000,212.0,25.0,카페포엠,,3110085,135.34522486978247,32.0,4.75,102814066.87679428
MA010120220805464769,1171010100,182.0,,하라핸즈커피,,3120225,431.88844384654817,73.0,4.135,439902452.7569117
MA0101202409A0217478,1141011100,266.0,152.0,투빅커피,,3110529,310.5764468040954,14.0,4.0,11127276.780607905
MA010120220809241043,1156011100,423.0,3.0,피스커피,,3110770,35.24142043466645,0.0,4.83,4261957.456202878
MA0101202301A0049313,1138010900,1.0,22.0,데이커피,,3110459,77.7321673268318,4.0,5.0,1995866.8346759311
MA010120220812746202,1150010500,773.0,,비비앤디BBnD,,3120118,,0.0,,
MA0101202309A0063110,1150010500,773.0,,테이블디,,3120118,,26.0,4.5,
MA0106202211A2088818,1150010500,773.0,,차키차카초코,마곡점,3120118,,0.0,,
MA0101202406A0194515,1150010500,773.0,,포트캔커피,마곡점,3120118,,16.0,4.6850000000000005,
MA010120220813182803,1150010500,773.0,,티오르카페,,3120118,,0.0,,
MA0101202308A0065055,1150010500,773.0,,바이러닉에스프레소바,마곡점,3120118,,0.0,4.38,
MA010120220803075585,1165010800,1475.0,5.0,프리퍼커피,,3120171,172.7141579077064,1054.0,4.38,1275353276.5986774
MA0101202307A0023580,1154510100,371.0,37.0,카페봄봄가산V,타워점,3120131,726.8232792766621,0.0,,40147921.362519205
MA010120220800986175,1154510100,371.0,37.0,규젤,,3120131,726.8232792766621,54.0,4.755,131499351.81421362
MA0106202406A2465128,1154510100,371.0,37.0,스타벅스,가산브이타워,3120131,726.8232792766621,102.0,4.34,212700623.3268309
MA010120220801009876,1154510100,371.0,37.0,지루크렛,,3120131,726.8232792766621,0.0,,40147921.362519205
MA010120220809716573,1154510100,371.0,37.0,곰미커피,,3120131,726.8232792766621,45.0,4.085,116274113.4055979
MA010120220812531249,1132010500,423.0,19.0,이디야커피,덕성여대점,3110383,156.15424380208577,16.0,2.9050000000000002,44889350.04492198
MA010120220814100801,1141011600,30.0,10.0,커피크레페,,3120094,184.714759688157,38.0,4.2,129085656.70693997
MA010120220803653481,1123010800,42.0,7.0,커피하이,,3120064,106.3482566959351,10.0,4.45,249686852.94772694
MA010120220810343445,1117012800,40.0,339.0,시온,,3110062,82.29871748327797,66.0,4.535,58314354.71273843
MA010120220808253315,1168010300,1166.0,,고다방,,3110984,127.30105596212124,2.0,3.5,53080751.868142314
MA010120220813411383,1159010200,505.0,6.0,쥬씨숭실대점,,3110839,90.25929977630588,4.0,4.59,117870872.88748953
MA0101202411A0032598,1159010200,505.0,6.0,컴포즈커피숭실대,중문점,3110839,90.25929977630588,6.0,5.0,119890341.21042532
MA010120220813119031,1111012900,46.0,1.0,도반에이치씨,,3120004,642.3008231495905,0.0,,173460102.50743368
MA0101202409A0166178,1138010300,274.0,11.0,빽다방,불광역점,3110487,299.4588890913527,27.0,2.6,37394656.621188916
MA010120220813062844,1153010800,148.0,2.0,빽다방오류동역남부점,,3110690,188.3698971408357,29.0,2.8,28866367.469953503
MA010120220810000494,1120010700,19.0,98.0,놀숲,한양대점,3130069,148.82855681958574,306.0,4.13,170007904.98930386
MA010120220800028144,1111016400,20.0,3.0,커피스토리,,3120015,454.9529208951735,0.0,4.19,152056650.1513243
MA0101202409A0168669,1162010200,1455.0,3.0,모멘트베이글,,3110869,78.90657185149294,0.0,4.56,21358897.72784271
MA010120220812233746,1156012000,33.0,4.0,폰트문래,,3110761,,1722.0,3.7,
MA010120220805319826,1114011300,42.0,3.0,몬떼비서울,,3120022,68.82552400325687,22.0,5.0,123487882.3722859
MA010120220804662430,1159010700,129.0,11.0,싱싱카페,,3130273,140.11081395482165,0.0,,155619656.37469786
MA0101202409A0096552,1174010100,340.0,1.0,명성교회카페램프,,3111080,1558.7080749020663,0.0,5.0,315334502.646759
MA010120220810426100,1171010400,189.0,,카페오즈,,3111016,84.09881298588449,271.0,4.5,60168844.02118286
MA010120220806533035,1165010400,419.0,17.0,데뷰,,3110946,120.04247067934473,0.0,,76630742.44658469
MA010120220803952844,1114015800,59.0,12.0,러블리,,3120030,256.14143021528105,0.0,4.5,125333842.72549772
MA010120220800889058,1111010900,94.0,,복담,,3110008,24.99143842473167,3.0,5.0,183893275.30116832
MA0106202201A0636259,1121510500,7.0,33.0,라운지탐탐,,3120053,82.2938044482397,0.0,,148396859.18076646
MA010120220812712355,1171011200,119.0,9.0,카페델리카토,,3111040,111.98184350179761,7.0,4.465,21926431.926466446
MA0101202305A0087834,1159010900,395.0,73.0,더벤티보라매타운점,,3120151,625.084807405247,14.0,3.3,164687216.04821363
MA010120220813854672,1159010900,395.0,73.0,더치앤빈보라매타운점,,3120151,625.084807405247,0.0,3.8,127926071.42919917
MA010120220800445564,1159010900,395.0,73.0,공차,보라매점,3120151,625.084807405247,17.0,3.34,172564604.1808596
MA0106202201A0299892,1111014800,104.0,1.0,메가커피안국역점,,3120007,149.62083991500143,0.0,,245324616.9515127
MA0101202302A0063184,1171011100,223.0,1.0,이터널에스,,3111020,94.06232993341722,0.0,,14849854.403920382
MA010120220807072197,1123010800,25.0,,커피메소드,,3120064,148.12755208493058,0.0,4.69,313417045.3282934
MA010120220805264219,1147010100,144.0,35.0,마을카페그물코협동조합,,3110625,146.7255429774244,0.0,5.0,19707827.080097593
MA010120220813658664,1135010300,120.0,,라비다커피서울여대점,,3110442,110.30879479644031,0.0,,17632147.70409172
MA010120220801031739,1132010500,88.0,97.0,가배미혼,,3130146,82.83669222657883,102.0,4.62,278316077.25832653
MA010120220814141129,1144012300,423.0,23.0,망원지튼,,3130185,123.27963107879808,0.0,,18603320.59753367
MA0101202301A0002457,1141011300,90.0,8.0,스튜디오웝,,3110524,174.64894452212556,300.0,4.609999999999999,180010903.46344164
MA0106202406A2466371,1114016200,372.0,3.0,스타벅스,동호로,3130042,169.62253914802523,109.0,4.24,39579224.3243511
MA0101202406A0114497,1154510200,179.0,5.0,헤븐카페,,3110744,105.20155184230764,51.0,5.0,54117752.65155124
MA010120220807065172,1144012200,358.0,21.0,실루엣커피,,3110559,90.4785204051606,0.0,4.5,93012725.58750768
MA0101202303A0110844,1162010200,604.0,6.0,마실커피,,3110863,105.81807961043492,0.0,,16854737.845091823
MA0101202406A0004716,1165010800,1673.0,10.0,떠기다방,교대역점,3120173,165.1102751681674,0.0,,98605899.05403095
MA010120220803901278,1129011600,85.0,87.0,비스트로홈8587,,3120072,157.8860285091103,562.0,4.67,897474570.6120001
MA010120220812599140,1165010700,107.0,29.0,다선,,3110921,194.3015934620857,0.0,,70697797.34348477
MA010120220807111048,1141011800,48.0,69.0,메가엠지씨커피홍제홍은벽산점,,3110525,61.11987053635304,0.0,2.2,36037620.41274098
MA0101202303A0027694,1126010600,410.0,16.0,삼일차이커피바,,3110272,34.37331158723907,61.0,5.0,199561435.47525987
MA010120220814329761,1135010200,21.0,17.0,오늘도,,3110423,61.30969836056025,0.0,4.59,5522143.146327723
MA010120220810800614,1130510300,542.0,5.0,커피마마하늘비전,,3110340,123.83060277033555,7.0,4.625,
MA0101202406A0087502,1174010100,48.0,3.0,공차고덕역점,,3120249,430.15398584477634,28.0,3.8649999999999998,239651775.3740137
MA010120220813911103,1156010400,9.0,4.0,앙크인베스트먼트이디야커피,영등포점,3120145,90.78091878307553,0.0,,109993018.02147031
MA0101202303A0101886,1130510100,679.0,2.0,딥그린,,3110363,114.56502304114196,32.0,5.0,
MA010120220807169989,1126010300,288.0,14.0,너에게로또,,3110251,103.14200146848823,12.0,4.73,14600912.776530612
MA0101202209A0020316,1168010800,59.0,,컴포즈커피강남을지,병원점,3120190,601.3402658654692,23.0,2.7,83056612.94624579
MA010120220805509858,1144012100,177.0,17.0,레인보우식스,,3110566,121.16085463555063,0.0,5.0,69793472.4222549
MA010120220804891381,1114012500,50.0,2.0,옥키,,3120030,402.46712797266446,113.0,4.45,275399013.88630253
MA010120220800531673,1126010600,410.0,30.0,카페피울,,3110272,52.38839287913727,0.0,,58885266.83721609
MA0101202306A0015415,1162010200,1669.0,9.0,또리커피,관악점,3120134,182.1457968277376,8.0,1.6,38498816.94366594
MA0101202406A0014871,1159010200,502.0,1.0,카페트리얌숭실대점,,3110839,132.48804777387818,11.0,4.0,206748281.1809741
MA0106202406A2464826,1141010200,470.0,,스타벅스,충정로역,3120097,1507.8679205926155,111.0,4.390000000000001,651236086.0731736
MA010120220804930744,1129012700,7.0,,엠투커피,,3110302,216.05686407412256,0.0,4.31,50867178.161300115
MA010120220813879673,1111016100,14.0,1.0,조쉬윌로우커피,,3120011,431.9056077347089,0.0,,123966627.8440367
MA010120220813282429,1150010500,797.0,9.0,플루이드,,3120119,541.5533441671533,0.0,,35483098.451047
MA010120220805511005,1150010500,797.0,9.0,꾸꾸케이크,,3120119,541.5533441671533,63.0,5.0,42975491.700069845
MA0101202209A0036931,1114012500,50.0,2.0,와드커피충무로점,,3120030,402.46712797266446,54.0,5.0,219133096.9706723
MA0101202406A0308790,1162010100,897.0,1.0,어블리,,3110890,198.89431378316286,0.0,,45495909.433932975
MA010120220810067374,1114012700,50.0,14.0,도노커피배롱나무카페,,3120028,571.2963121218173,0.0,3.0,377893310.2378916
MA010120220810146569,1114012700,50.0,14.0,카스쿠르트,,3120028,571.2963121218173,0.0,4.29,377893310.2378916
MA010120220813221458,1114010800,40.0,2.0,낙원커피,,3120026,169.40490507047238,127.0,4.3,523791335.0471572
MA0101202406A0150037,1144011100,256.0,1.0,올리브,,3110571,240.27855248663002,0.0,4.6,11605006.028571429
MA010120220800699220,1121510300,252.0,6.0,휴온,,3120056,143.266231429544,183.0,4.86,239800902.67763156
MA010120220805030783,1130510300,229.0,49.0,놀숲,수유점,3120076,2512.678050302397,298.0,4.08,557670570.0173239
MA010120220803453706,1114011300,71.0,2.0,모나코,,3120022,134.3977195276348,0.0,3.8,128416265.34040514
MA0101202406A0338092,1162010100,1638.0,13.0,하하모먼트,,3130295,134.50469341137398,19.0,5.0,62622250.83220629
MA0101202409A0068938,1168010100,773.0,6.0,카페유,,3120206,303.6132405458781,0.0,,77292479.83443779
MA0101202406A0226192,1153010200,1124.0,37.0,보드게임카페홈즈앤루팡,구로디지털단지점,3120130,289.8793230057624,0.0,,158175931.93895203
MA010120220801050630,1144012300,379.0,4.0,메머드익스프레스망원역점,,3120100,90.65705512473339,38.0,4.6,96717639.89486125
MA010120220805810603,1168010400,68.0,22.0,골프존뉴딘,,3120214,456.3164548629325,0.0,,18738221.04206089
MA010120220800032087,1111016400,135.0,1.0,영다방,,3120015,115.52907958632498,0.0,,44350256.294080414
MA010120220805470816,1121510300,200.0,19.0,비바체,,3120061,225.17256927677013,6.0,4.91,40548670.97871285
MA010120220802994487,1162010100,691.0,33.0,신림카페강우,,3110873,61.806361162957415,0.0,,4743794.344275399
MA0101202409A0009697,1162010100,691.0,33.0,무휼,보라매점,3110873,61.806361162957415,8.0,3.7,6018286.125337377
MA010120220803488959,1114013800,16.0,6.0,카페온더플랜충무로점,,3120032,522.6345319897931,351.0,3.735,319071028.7672577
MA0101202210A0073628,1162010200,1544.0,1.0,더리터신림,중앙점,3110881,125.90087683655763,28.0,3.465,125016034.61438347
MA0101202311A0017304,1150010300,996.0,17.0,굿프랜드강서점,,3110661,182.1112709688634,0.0,,
