상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,estimated_population,estimated_population_total
MA010120220810424700,원데이브레드,,3110247,먹골역 1번,서울특별시 중랑구 동일로160길 4,287995,287995
MA010120220808908148,모모,관악점,3110891,구암초등학교,서울특별시 관악구 구암길 10,23188,23188
MA0101202310A0088471,지스페이스,,3111089,상일여고(상일초등학교),서울특별시 강동구 천호대로221길 31,35634,35634
MA010120220802374728,이디야혜화역점,,3120012,대학로(혜화역),서울특별시 종로구 창경궁로 258-15,32611,32611
MA010120220803241464,소재,,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",서울특별시 성동구 마조로3길 8,45339,45339
MA010120220813885873,메가엠지씨커피구로,궁동점,3110686,수궁동주민센터,서울특별시 구로구 부일로15길 29,198735,198735
MA010120220812814238,온순간라마티에,,3110560,마포FM,서울특별시 마포구 성미산로16길 3-3,92096,92096
MA010120220811814928,더벤티,길동점,3130324,길동복조리시장,서울특별시 강동구 양재대로116길 41,166382,166382
MA010120220805022678,쌍문빵곳간,,3110402,도봉구 정병원,서울특별시 도봉구 방학로5길 33,47960,47960
MA010120220808598302,카페딜런,,3110657,양천향교역 5번,서울특별시 강서구 강서로74길 40,47305,47305
MA0103202406C0037827,숨과쉼,,3110702,개봉초등학교,서울특별시 구로구 개봉로14길 13,193270,193270
MA0101202409A0202293,얼반스퀘어,,3110559,성산중학교,서울특별시 마포구 독막로8길 15,31234,31234
MA010120220812558754,카페두레브,,3110998,은곡마을(은곡마을공원),서울특별시 강남구 헌릉로569길 23,13833,13833
MA010120220810056790,벤티프레소&베이커리포스코,센터점,3120215,포스코사거리,서울특별시 강남구 테헤란로 440,38302,153208
MA010120220811899122,더카페440,,3120215,포스코사거리,서울특별시 강남구 테헤란로 440,38302,153208
MA0106202307A0704060,학산테라로사커피포스코센터지점,,3120215,포스코사거리,서울특별시 강남구 테헤란로 440,38302,153208
MA010120220801059329,카페오아시아사회적협동조합포레카포스코,센터점,3120215,포스코사거리,서울특별시 강남구 테헤란로 440,38302,153208
MA0101202409A0219742,이문,,3130015,창신골목시장,서울특별시 종로구 창신1길 12,248289,248289
MA0106202201A0153414,커피빈문정역스테이트점,코리아,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220807110788,슈퍼커피문정엠스테이트점,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA0101202406A0134146,라라커피,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA0101202406A0413171,매머드익스프레스문정역,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA0101202310A0029343,오슬로우커피,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220803052740,커피나인문정엠스테이트,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220812020314,카페마놀린,문정점,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220803012423,매머드익스프레스문정역,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220808294986,빽다방문정역점,,3120235,문정역,서울특별시 송파구 법원로 114,3125,40625
MA010120220803244585,카페다반,,3111013,송파나루역 1번(송리단길),서울특별시 송파구 백제고분로45길 26,41624,41624
MA010120220813764097,컷팅엣지+,,3110778,구로디지털단지역 4번,서울특별시 영등포구 도림천로21길 23,115841,115841
MA0101202310A0041188,뚜띠테이블,,3110295,정릉우체국,서울특별시 성북구 보국문로8길 15,108520,108520
MA0101202308A0056597,치키차카초코강남,논현점,3120187,신논현역,서울특별시 강남구 강남대로114길 13,40752,40752
MA010120220810108831,베르프레,,3110607,금빛새마을금고본점,서울특별시 양천구 신월로 194,82242,82242
MA0101202311A0024296,유캔두잇,서울대입구역점,3120159,서울대입구역,서울특별시 관악구 남부순환로218길 1,73836,73836
MA010120220813703622,시드누아,중곡점,3110174,아차산역 1번,서울특별시 광진구 천호대로127길 44,77213,77213
MA010120220800584002,부에노커피로스팅Co,,3130179,"이화여대 3,5,7길 상점가",서울특별시 서대문구 이화여대2가길 18,28604,28604
MA0101202409A0238342,블랑카,,3120146,한강성심병원,서울특별시 영등포구 국회대로56길 19,36806,36806
MA010120220809686489,33아파트먼트,,3110095,한강진역 3번,서울특별시 용산구 한남대로27길 33,20470,20470
MA010120220800210197,밥스바비연남점,,3120104,연남동(홍대),서울특별시 마포구 동교로 225,27329,27329
MA0101202406A0000697,카페;꼬망,,3110651,화원중학교,서울특별시 강서구 가로공원로84길 14,60126,60126
MA010120220806022846,이디야커피,,3130036,중부시장(신중부시장),서울특별시 중구 마른내로 109-1,109556,109556
MA010120220806357351,커피온리,건대점,3110148,어린이대공원역 3번,서울특별시 광진구 광나루로24길 29,86451,86451
MA010120220804194915,제너러스커피,,3110939,양재역 8번(양재동우체국),서울특별시 서초구 강남대로30길 20,96716,96716
MA0101202310A0040638,이디야,,3110876,서원동주민센터(신관중학교),서울특별시 관악구 신림로46길 1,154934,154934
MA010120220813573284,카페프렌즈,,3120188,압구정역,서울특별시 강남구 압구정로 172,38936,77872
MA010120220801624613,하우,압구정역점,3120188,압구정역,서울특별시 강남구 압구정로 172,38936,77872
MA010120220803232989,휘드카페하계점,,3110432,대진고등학교,서울특별시 노원구 공릉로58길 108,23074,23074
MA010120220810435359,갸또마마,,3111080,굽은다리역 3번,서울특별시 강동구 상암로49길 33,28574,28574
MA0106202201A0925922,동봉,,3120232,송파나루역,서울특별시 송파구 오금로17길 4-7,32969,32969
MA010120220813201848,셀렉토커피신당동점,,3130051,동화동 골목형상점가,서울특별시 중구 다산로34길 39,184873,184873
MA010120220803306156,이시스커피,,3120185,논현역,서울특별시 강남구 학동로1길 11,42393,42393
MA010120220812159178,모블러,,3110303,성신여대입구역 1번,서울특별시 성북구 동소문로26다길 26,63547,127094
MA0101202406A0424215,쿠키앤베이커리마피,,3110303,성신여대입구역 1번,서울특별시 성북구 동소문로26다길 26,63547,127094
MA0101202406A0008743,담다,,3110291,한성대입구역 3번,서울특별시 성북구 삼선교로14길 78,151721,151721
MA0101202305A0022768,카페몬데이,,3120105,상수역(홍대),서울특별시 마포구 독막로15길 13-4,17713,17713
MA010120220804140787,리버스커피,,3120136,영등포구청역,서울특별시 영등포구 당산로27길 5,31282,31282
MA010120220809196844,두그루커피,,3120184,포이사거리(삼호물산),서울특별시 서초구 논현로17길 22,35221,35221
MA010120220812242230,손기,,3110569,홍대땡땡거리,서울특별시 마포구 신촌로12길 19,32495,32495
MA0101202209A0037864,나우커피목동,사랑점,3110620,목동보건지소,서울특별시 양천구 목동중앙본로5길 29,131017,131017
MA0101202305A0082681,카페미뇽수서역점,,3120224,수서역,서울특별시 강남구 광평로 270,8294,24882
MA010120220814129815,더아담수서역,,3120224,수서역,서울특별시 강남구 광평로 270,8294,24882
MA010120220810097369,키쉬미뇽,,3120224,수서역,서울특별시 강남구 광평로 270,8294,24882
MA0101202303A0041864,듀엣커피DUETCOFFEE,,3110731,금천구청역 1번 출입구,서울특별시 금천구 시흥대로73길 67,25032,100128
MA010120220813323997,오픈콜라,,3110731,금천구청역 1번 출입구,서울특별시 금천구 시흥대로73길 67,25032,100128
MA010120220806860993,곤트란쉐리에,금천구청역점,3110731,금천구청역 1번 출입구,서울특별시 금천구 시흥대로73길 67,25032,100128
MA010120220807372274,모코커피,,3130261,성대전통시장(성대시장),서울특별시 동작구 상도로12길 9,24809,24809
MA010120220814384911,지오성,,3120057,아차산역,서울특별시 광진구 천호대로 661,59534,59534
MA010120220805326235,투썸플레이스서소문점,,3120020,시청역_1번,서울특별시 중구 서소문로 135,3756,3756
MA0101202305A0139078,이민힙,,3110645,우장산역 4번,서울특별시 강서구 강서로47길 60,62917,62917
MA0101202409A0153431,메가엠지씨커피방화,사거리점,3110636,방화역 2번,서울특별시 강서구 양천로 73,85378,85378
MA0101202302A0006819,야스티커피,,3130183,상암동상점가,서울특별시 마포구 월드컵북로44길 19,25290,25290
MA0101202305A0205721,바운드리스바운드BLB,,3120207,선정릉역,서울특별시 강남구 봉은사로61길 16,38319,38319
MA0101202409A0146027,달콤서준,,3110064,효창공원앞역 2번,서울특별시 용산구 백범로79길 99,138416,138416
MA010120220804067716,피카,,3110084,경리단길북측,서울특별시 용산구 소월로44길 40,55630,55630
MA010120220812983509,한잔포차,,3110394,방학중학교,서울특별시 도봉구 도당로13길 53,162972,162972
MA010120220807020679,더벤티커피,전문점,3120211,도성초등학교,서울특별시 강남구 선릉로 344,75943,75943
MA010120220809838189,쿠이고,,3120186,가로수길,서울특별시 강남구 강남대로162길 27-16,28432,28432
MA010120220812148021,티에드,,3130318,로데오거리상점가,서울특별시 강동구 천호대로157길 52,29710,29710
MA010120220812844469,리치웰서대문자연사점,,3110518,서대문구청,서울특별시 서대문구 연희로32길 51,5968,5968
MA010120220812236940,컴포즈역촌,중앙점,3110476,역촌역 2번,서울특별시 은평구 서오릉로 86,63126,63126
MA0101202406A0201797,지누스,,3110467,은평요양병원,서울특별시 은평구 갈현로 332-7,37733,37733
MA0101202307A0006157,브라운필약수터점,,3130264,상도약수골목형상점가,서울특별시 동작구 양녕로26길 20,53909,53909
MA0101202308A0022313,푸르시모서리,,3130098,회기시장,서울특별시 동대문구 이문로 45,25771,25771
MA0106202201A0153161,커피빈방이점,코리아,3120229,방이동먹자골목,서울특별시 송파구 오금로11길 7,98528,98528
MA0101202212A0015217,카페그리다,,3110287,정릉3동주민센터,서울특별시 성북구 솔샘로 19,72780,72780
MA0101202406A0060512,컴포즈커피선유,중앙점,3130241,선유도역 골목형상점가,서울특별시 영등포구 선유로49길 22,24865,24865
MA010120220802999068,테르테르,,3111085,묘곡초등학교(고덕아이파크아파트),서울특별시 강동구 동남로85길 76,66772,66772
MA0101202211A0085400,펠리칸카페,,3120105,상수역(홍대),서울특별시 마포구 독막로14길 27,17713,17713
MA0101202310A0064381,보사노바베이커리랩,,3120108,신정네거리역,서울특별시 양천구 중앙로45길 8-32,36128,36128
MA010120220800595734,빅파운드커피,,3130179,"이화여대 3,5,7길 상점가",서울특별시 서대문구 이화여대2가길 24,28604,57208
MA010120220812178026,레인트리,,3130179,"이화여대 3,5,7길 상점가",서울특별시 서대문구 이화여대2가길 24,28604,57208
MA0101202406A0228984,고연당,,3111051,천호역 6번,서울특별시 강동구 천호옛12길 21,174348,174348
MA010120220810378412,쥬빌리마을카페,,3110713,구로보건소,서울특별시 구로구 구로중앙로28길 53-12,167967,335934
MA010120220811880669,무무,,3110713,구로보건소,서울특별시 구로구 구로중앙로28길 53-12,167967,335934
MA010120220812216671,벌크커피,오금점,3111032,방이역 1번,서울특별시 송파구 위례성대로22길 27,59039,59039
MA010120220810003701,설곡랩커피로스터스,,3110309,대광초등학교,서울특별시 성북구 안암로5길 22,33446,33446
MA010120220802979833,투엑스라지커피,,3120216,경기고교사거리(경기고교앞사거리),서울특별시 강남구 영동대로 647,40673,81346
MA010120220810598145,까페텀블러,,3120216,경기고교사거리(경기고교앞사거리),서울특별시 강남구 영동대로 647,40673,81346
MA010120220812347803,커피비상구,,3120006,종각역,서울특별시 종로구 종로8길 13,26788,26788
MA0101202406A0342103,스페셔티카페본심(本心)을전하다,,3120175,남부터미널역,서울특별시 서초구 서초중앙로 26,30446,60892
MA0106202406A2465532,스타벅스,남부터미널,3120175,남부터미널역,서울특별시 서초구 서초중앙로 26,30446,60892
MA010120220800794628,아트메이저,,3120164,내방역,서울특별시 서초구 서초대로 114,31403,31403
MA0101202305A0194263,디저트39강변역점,,3110173,구남초등학교,서울특별시 광진구 구의강변로 57,56672,56672
MA0106202410A1279201,리버벨커피,,3120213,삼성중앙역,서울특별시 강남구 삼성로107길 11-15,48935,48935
MA010120220811934233,포트캔커피,독산점,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),서울특별시 금천구 독산로75길 16,50845,50845
MA010120220804194309,카페써니,,3110934,우면주공아파트,서울특별시 서초구 바우뫼로6길 8-11,43330,43330
MA0101202406A0129759,더벤티방이,시장점,3130313,방이시장,서울특별시 송파구 백제고분로48길 9,92247,92247
MA010120220803767414,도토루커피OS,,3110131,성수동카페거리,서울특별시 성동구 성수일로4길 31-1,37569,37569
MA010120220812203764,더후드,,3110836,상도역 5번,서울특별시 동작구 상도로41가길 16,56833,56833
MA010120220806733233,매머드익스프레스영등포리마크빌점,,3120144,영중로,서울특별시 영등포구 영중로 109,146779,146779
MA010120220808131186,커피베이성북,종암점,3110314,종암경찰서,서울특별시 성북구 종암로21길 87,81591,81591
MA010120220809940817,슬아커피,,3110473,구산역 1번,서울특별시 은평구 역말로9길 25,194520,194520
MA0101202411A0007012,맥시마브레드,,3110903,방배아이파크아파트,서울특별시 서초구 방배중앙로21길 60,165916,165916
MA010120220809290656,진심커피,,3120138,당산2동(영등포우체국),서울특별시 영등포구 당산로 175,28967,57934
MA010120220805724034,매머드익스프레스당산,중앙점,3120138,당산2동(영등포우체국),서울특별시 영등포구 당산로 175,28967,57934
MA0101202406A0261286,매머드익스프레스망원,시장점,3130186,망원시장,서울특별시 마포구 망원로 82,26177,26177
MA0101202406A0541388,아이소,,3120197,역삼역,서울특별시 강남구 테헤란로 142,34023,102069
MA010120220806493996,토스플레이스,,3120197,역삼역,서울특별시 강남구 테헤란로 142,34023,102069
MA0106202406A2466093,스타벅스,아크플레이스,3120197,역삼역,서울특별시 강남구 테헤란로 142,34023,102069
MA010120220803179629,알고커피,,3120064,경희대학교(경희대),서울특별시 동대문구 경희대로6길 5,27924,27924
MA010120220814341052,빽다방건대역화양점,,3130078,화양제일골목시장,서울특별시 광진구 아차산로29길 29-1,114833,114833
MA0101202210A0054634,카페위키드블랙,,3120173,교대역(법원.검찰청),서울특별시 서초구 서초중앙로24길 16,50485,50485
MA010120220805452412,목향커피호프,,3110710,남구로역 3번,서울특별시 구로구 구로동로17길 9-12,793668,793668
MA0101202411A0145282,와니타음악감상실,,3110136,경수초등학교,서울특별시 성동구 연무장17길 5,35330,35330
MA010120220807931686,루바토,,3110892,관악구 중앙길,서울특별시 관악구 중앙길 41,222931,222931
MA010120220814331502,이음,,3130035,방산종합시장(방산시장),서울특별시 중구 을지로27길 35,64309,64309
MA010120220804938062,다락방사주카페,,3120065,회기역,서울특별시 동대문구 회기로 185-1,63144,63144
MA0101202406A0224824,베어글스,건대점,3120053,건대입구역(건대),서울특별시 광진구 동일로22길 117-7,27031,27031
MA010120220805115703,복희커피인테리어공방,,3110274,서일대학교,서울특별시 중랑구 용마산로94길 18,80661,80661
MA0101202302A0006689,몽희,,3110345,솔밭공원역 2번,서울특별시 강북구 삼양로155길 17,57203,57203
MA0101202409A0130486,고몽순커피,,3110530,아현역 1번,서울특별시 서대문구 신촌로29길 16,163987,163987
MA0101202305A0110009,고망고,공릉점,3110434,태릉입구역 4번,서울특별시 노원구 동일로 1016,60360,60360
MA010120220800807951,하프,,3120076,수유역,서울특별시 강북구 도봉로89길 5-12,63582,63582
MA010120220809297613,쉘위커피,,3110366,광산사거리,서울특별시 강북구 노해로 90,109356,109356
MA0106202202A1647277,플래시커피,,3120219,은마아파트,서울특별시 강남구 도곡로 447,39033,39033
MA0101202212A0024581,두눈,,3120077,미아역,서울특별시 강북구 솔매로 131,76508,76508
MA0101202211A0092202,메가엠지씨커피,종암점,3110319,종암동주민센터,서울특별시 성북구 종암로 98,219221,219221
MA010120220804975413,카페CAFE'4가13번지,,3110759,문래예술촌(문래창작촌),서울특별시 영등포구 도림로141가길 21-2,67273,67273
MA010120220804024496,카페26,,3120054,어린이대공원역,서울특별시 광진구 능동로17길 34,58832,58832
MA0101202305A0187767,엔지니어링클럽,,3120044,삼각지역,서울특별시 용산구 한강대로62다길 11,28379,28379
MA010120220808090525,카페리빈,,3120198,구역삼세무서,서울특별시 강남구 역삼로 176,39618,39618
MA0101202411A0024260,콘파타테,,3110895,샤로수길,서울특별시 관악구 관악로12길 72,90366,90366
MA010120220805133939,책그리고,,3110907,방배초등학교,서울특별시 서초구 방배천로 132,71377,71377
MA010120220807798168,디코이커피로스터스,,3110305,보문역 5번,서울특별시 성북구 고려대로6길 48,128817,128817
MA0106202201A0153170,커피빈중계동은행사거리점,코리아,3120085,은행사거리,서울특별시 노원구 한글비석로 263,14785,14785
MA010120220806607813,에이치엔씨,,3120190,강남을지병원,서울특별시 강남구 도산대로 209,33806,33806
MA0101202406A0403435,몽글베어,,3110495,북가좌2동주민센터,서울특별시 서대문구 응암로1길 26,95574,95574
MA010120220812437711,라라곰,,3110415,수락산역 4번,서울특별시 노원구 동일로241가길 49,116651,116651
MA0101202406A0181179,카페포레누아,,3110390,방학초등학교,서울특별시 도봉구 도당로9길 22,93076,93076
MA0101202311A0071875,132하우스,,3110372,강북중학교,서울특별시 강북구 도봉로101길 17,149242,149242
MA010120220801037378,본카페,,3120212,한티역,서울특별시 강남구 선릉로62길 27-3,40795,40795
MA010120220806743112,데이로우,,3110091,리움미술관,서울특별시 용산구 이태원로49길 14-3,41318,41318
MA010120220805639737,본호미,,3110400,도봉구보건소,서울특별시 도봉구 도봉로 599,120181,120181
MA0101202210A0070963,커피파니,,3110848,양지어린이공원,서울특별시 동작구 사당로22가길 16,166214,166214
MA010120220808508847,카우프로스터스,,3110572,서강대역 1번,서울특별시 마포구 백범로 36-1,92044,92044
MA0101202406A0236762,투썸플레이스혜화대명로점,,3120012,대학로(혜화역),서울특별시 종로구 대명길 6,32611,32611
MA010120220802861711,메가엠지씨커피,미아역점,3120077,미아역,서울특별시 강북구 도봉로 201-2,76505,76505
MA0101202210A0059891,어피스앤드피스,,3110132,성수2가3동주민센터,서울특별시 성동구 성수일로12길 17,56240,56240
MA010120220810002840,커피온,,3110258,면동초등학교,서울특별시 중랑구 면목로69길 16,123399,123399
MA0101202211A0001726,빽다방신정네거리역점,,3120108,신정네거리역,서울특별시 양천구 중앙로 276,36128,36128
MA010120220812817542,딜리스,,3110383,덕성여대시반거리,서울특별시 도봉구 삼양로146길 10,5371,5371
MA0101202306A0027515,카페이로,,3120164,내방역,서울특별시 서초구 방배로 151,31403,31403
MA010120220808998152,하이오커피암사역점,,3120244,암사역,서울특별시 강동구 올림픽로 797,51079,51079
MA0101202305A0063070,메가엠지씨커피아현,중앙점,3110584,아현역 4번,서울특별시 마포구 신촌로 236-1,23672,23672
MA010120220808138699,베르니,,3120003,광화문역,서울특별시 종로구 세종대로23길 54,11116,33348
MA0101202406A0524423,카페오렌지어웨이크,,3120003,광화문역,서울특별시 종로구 세종대로23길 54,11116,33348
MA0101202310A0047292,세종커피,,3120003,광화문역,서울특별시 종로구 세종대로23길 54,11116,33348
MA0101202411A0124857,메가엠지씨커피광희동,사거리점,3120037,동대문역사문화공원역,서울특별시 중구 마른내로 167,87555,87555
MA0101202305A0051354,스페이스코르보문점,,3110305,보문역 5번,서울특별시 성북구 고려대로2길 37,128815,257630
MA0101202406A0382433,만나플러스지사.만나카페,동대문,3110305,보문역 5번,서울특별시 성북구 고려대로2길 37,128815,257630
MA0101202406A0206618,공일토스트달보드레,,3110541,동교초등학교,서울특별시 마포구 월드컵로25길 95,91302,91302
MA010120220812834262,원앤온리커피,,3130179,"이화여대 3,5,7길 상점가",서울특별시 서대문구 이화여대7길 31-4,28603,28603
MA010120220805087223,심재,,3120205,매봉역,서울특별시 강남구 논현로28길 34,24019,24019
MA0101202406A0019355,구테이블,,3110001,이북5도청사,서울특별시 종로구 진흥로 435-2,89259,89259
MA0101202311A0028413,메가엠지씨커피당고개역점,,3110439,당고개역 5번,서울특별시 노원구 상계로 305,290805,290805
MA0101202308A0033842,더벤티,코리아,3110390,방학초등학교,서울특별시 도봉구 방학로 172,93078,93078
MA010120220806241244,온도감,,3110395,신한은행 방학동지점,서울특별시 도봉구 도당로 66-1,124467,124467
MA010120220800207966,이디아망원역점,,3120100,망원역,서울특별시 마포구 월드컵로 82-1,28340,28340
MA010120220812675908,커스텀커피,중계점,3120085,은행사거리,서울특별시 노원구 한글비석로 245,14787,59148
MA010120220805126027,스윗소사이어티,,3120002,서촌(경복궁역),서울특별시 종로구 자하문로7길 10,22611,22611
MA0101202409A0190605,메가엠지씨커피,연신내역점,3130167,연신내상점가(연빛거리),서울특별시 은평구 통일로 855-15,40746,40746
MA010120220813807152,매머드익스프레스정동점,,3110038,경향신문사,서울특별시 중구 정동길 6,2416,2416
MA010120220813676655,라운드브릭,,3110178,장로회신학대학교,서울특별시 광진구 광장로 67,51535,51535
MA0101202406A0096297,메가엠지씨커피신림충,무교점,3110882,신성초등학교,서울특별시 관악구 신림로 186,211926,211926
MA0101202406A0186749,김빙수,,3110885,영락고등학교,서울특별시 관악구 서림길 23,143684,143684
MA0101202212A0027177,우리들cafe,,3120073,미아사거리,서울특별시 성북구 동소문로46길 10,23180,23180
MA0101202212A0002461,매머드익스프레스서초,센트럴점,3120172,교대입구교차로,서울특별시 서초구 반포대로18길 36,62898,188695
MA010120220803264260,투썸플레이스서초센트럴,아이파크점,3120172,교대입구교차로,서울특별시 서초구 반포대로18길 36,62898,188695
MA0101202411A0137841,마실,,3110303,성신여대입구역 1번,서울특별시 성북구 동소문로26길 17,63548,63548
MA0101202406A0149579,과일의시작야미,논현점,3120187,신논현역,서울특별시 강남구 강남대로114길 20,40752,40752
MA0101202309A0031194,커피바이안,,3110495,북가좌2동주민센터,서울특별시 서대문구 응암로1길 9,95576,95576
MA0101202309A0007750,렉,,3130065,무학봉상점가,서울특별시 성동구 무학봉16길 3,76894,76894
MA0101202409A0030203,더벤티공릉역점,,3120084,공릉역,서울특별시 노원구 동일로 1077,36789,36789
MA010120220813339323,커피340,,3110180,광진정보도서관,서울특별시 광진구 아차산로78가길 52,24259,24259
MA010120220800809083,영화,,3130024,남대문시장(자유상가),서울특별시 중구 남대문로 12,56369,56369
MA010120220806657975,공차사가정역점,,3120068,사가정역,서울특별시 중랑구 면목로 313,20231,20231
MA0101202308A0045888,제트앤아이대부파트너스,,3120027,명동역(명동재미로),서울특별시 중구 소공로 38,23438,23438
MA010120220811892708,아이티플라잉,,3110274,서일대학교,서울특별시 중랑구 용마산로96길 6,80668,80668
MA010120220814234054,택스커피,,3110291,한성대입구역 3번,서울특별시 성북구 삼선교로14길 35,151728,151728
MA010120220808387915,커피마심,,3110805,신길새마을금고신길4동지점,서울특별시 영등포구 가마산로 515-2,84529,84529
MA0101202305A0181399,트레이커피,,3110110,상왕십리역 6번,서울특별시 성동구 왕십리로 391,266055,266055
MA0101202406A0447356,예디드카페,,3110552,성미산체육관,서울특별시 마포구 월드컵북로23길 13,76700,76700
MA010120220813839256,어반테라스,,3110366,광산사거리,서울특별시 강북구 도봉로97길 73,109362,109362
MA010120220806488507,공차한티역점,,3120212,한티역,서울특별시 강남구 선릉로 314,40794,40794
MA0101202406A0289222,메가엠지씨커피IBK,파이낸스점,3120029,을지로2가,서울특별시 중구 을지로 82,31676,31676
MA0101202406A0263583,빽다방종로5가역점,,3120014,종로5가역,서울특별시 종로구 종로 213,27324,27324
MA010120220804106964,버즈커피,,3111080,굽은다리역 3번,서울특별시 강동구 상암로49길 35,28574,28574
MA010120220814369231,네버마인드,,3120102,서교동(홍대),서울특별시 마포구 동교로22길 14,36961,36961
MA0101202406A0199147,애프터레스트,,3110901,인헌고등학교(인헌중학교),서울특별시 관악구 인헌3나길 26,200776,200776
MA010120220812052096,카페아또,,3110275,하나은행 망우동지점,서울특별시 중랑구 망우로66길 5,93012,93012
MA0101202406A0398511,바나프레소,건대점,3130078,화양제일골목시장,서울특별시 광진구 능동로13길 55,114837,114837
MA0106202301A1038265,백억커피석촌고분점,,3120226,석촌고분역,서울특별시 송파구 백제고분로 265,33519,33519
MA010120220804365239,투썸플레이스노원문화의,거리점,3120081,노원역,서울특별시 노원구 상계로 69,60896,60896
MA010120220813613862,칼디,,3111062,둔촌동역 3번(성내3동주민센터),서울특별시 강동구 강동대로53길 12,72809,72809
MA010120220812616527,필로소피디저트,,3110684,서울공연예술고등학교,서울특별시 구로구 부일로17길 133,17967,17967
MA0101202310A0072482,매머드익스프레스삼성로점,,3120213,삼성중앙역,서울특별시 강남구 삼성로 549,48935,48935
MA010120220800575933,대지커피숍,,3110481,불광역 7번,서울특별시 은평구 통일로 755,466537,466537
MA010120220810268374,코스모스상점,,3110131,성수동카페거리,서울특별시 성동구 성수이로7길 27,37570,75140
MA010120220807931437,버터컵,,3110131,성수동카페거리,서울특별시 성동구 성수이로7길 27,37570,75140
MA010120220811701334,카페르다,,3110424,상계초등학교,서울특별시 노원구 상계로9길 28,228093,228093
MA010120220803905371,커피로드,,3120071,성북구청,서울특별시 성북구 보문로32길 10,35713,35713
MA0101202411A0097181,매머드익스프레스가산SK트윈테크점,,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 119,4265,17060
MA010120220804585662,티에스엔이,,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 119,4265,17060
MA0101202409A0116807,카페158℉,,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 119,4265,17060
MA010120220802489859,브레스토,,3120131,가산디지털단지,서울특별시 금천구 가산디지털1로 119,4265,17060
MA0101202411A0049624,커피곳간을지로3가,,3120031,을지로3가역,서울특별시 중구 을지로 106,30031,30031
MA0101202409A0229083,홍콩커피호프,,3120142,대림역,서울특별시 영등포구 대림로29길 23,83905,83905
MA010120220814046924,카페36-16,,3120207,선정릉역,서울특별시 강남구 봉은사로57길 23,38320,38320
MA010120220806809586,러비니돌,,3110566,경의선책거리,서울특별시 마포구 신촌로2안길 20,20861,20861
MA010120220804067223,리나,,3110957,언북중학교,서울특별시 강남구 논현로142길 43,80877,80877
MA0101202409A0037922,컴포즈커피마포경찰서점,,3110586,서울서부지방법원,서울특별시 마포구 마포대로 180,131911,131911
MA0101202212A0065362,로스디아스,,3110300,삼선동주민센터,서울특별시 성북구 동소문로22길 67,129760,129760
MA010120220808019343,폰트,,3110062,한강로동땡땡거리(은행나무길),서울특별시 용산구 한강대로15길 19-16,25014,25014
MA0101202309A0022171,그릭하다,,3120157,신림역(신림),서울특별시 관악구 남부순환로180길 6,111507,223014
MA0101202406A0334774,올토카페,,3120157,신림역(신림),서울특별시 관악구 남부순환로180길 6,111507,223014
MA010120220812126985,양재커피,,3110939,양재역 8번(양재동우체국),서울특별시 서초구 강남대로30길 63,96719,96719
MA010120220803500470,설빙,동대문점,3120037,동대문역사문화공원역,서울특별시 중구 을지로 254,87551,87551
MA0101202406A0193858,티소트카페,,3130219,까치산시장,서울특별시 강서구 강서로12길 15,102730,102730
MA010120220812842200,래오코퍼레이션,,3120171,서초3동사거리,서울특별시 서초구 반포대로 34,52897,52897
MA0101202309A0008769,하우스오브바이닐,,3110564,홍대입구역 3번,서울특별시 마포구 동교로 230,33533,33533
MA010120220811818609,할아버지카페,,3110341,북한산우이역 2번,서울특별시 강북구 삼양로173길 40,32951,32951
MA010120220803902052,카페테인,,3110287,정릉3동주민센터,서울특별시 성북구 솔샘로1길 19,72779,72779
MA010120220803272983,컴포즈커피개봉,북부점,3110703,개봉역,서울특별시 구로구 경인로40길 12,80464,80464
MA010120220813653639,요거프레소국민대점,,3110287,정릉3동주민센터,서울특별시 성북구 솔샘로1길 20,72779,72779
MA010120220800794903,스윗빈,,3120165,서래마을카페거리(서래마을),서울특별시 서초구 서래로7길 20,48279,48279
MA010120220810549602,해로커피,,3110286,한성대입구역 5번,서울특별시 성북구 성북로 19-3,49107,49107
MA010120220807441663,이디야,,3130066,행당시장상점가,서울특별시 성동구 왕십리로 309,92956,92956
MA010120220813977033,메가엠지씨커피공릉역점,,3120084,공릉역,서울특별시 노원구 동일로192길 30,36788,36788
MA0101202308A0023211,콘티뉴이티,,3120030,중부경찰서(영화인의거리),서울특별시 중구 수표로 30,39106,39106
MA010120220808036033,리프디어,,3110146,신자초등학교,서울특별시 광진구 자양번영로1길 15,154055,154055
