상가업소번호,상호명,지점명,kakao_score,kakao_reviewCount,naver_score,naver_reviewCount
MA010120220800739133,더카페,,,,4.6,2
MA010120220800896110,더카페,,3.7,3.0,4.6,2
MA010120220813233413,더카페,독산점,3.0,2.0,4.6,2
MA010120220800372104,더카페,마곡점,4.6,10.0,4.6,2
MA010120220808260839,더카페,,5.0,2.0,4.6,2
MA010120220805296718,더카페,,3.6,17.0,4.6,2
MA0101202305A0114250,더카페&페르케노구로지타워,,,,,8
MA0101202411A0078035,더카페/서울숲SKV1,,1.0,2.0,4.62,18
MA010120220811899122,더카페440,,3.0,4.0,4.14,3
MA010120220803537839,더카페562,,5.0,1.0,4.43,1
MA0101202303A0043203,더카페KCC웰츠밸리점,,5.0,4.0,,
MA010120220804272834,더카페NC,송파점,3.6,7.0,,7
MA010120220809642709,더카페NC4층영관,송파점,,,,7
MA0101202212A0019458,더카페NC불광7층점,,3.8,79.0,4.88,10
MA010120220804268801,더카페가든파이브VIP점,,3.4,25.0,,
MA010120220805177870,더카페가산노블루체점,,4.5,4.0,4.59,35
MA010120220800987300,더카페가산우림,2호점,,,4.57,14
MA010120220812059763,더카페가산이노플렉스점,,5.0,2.0,4.55,7
MA010120220800512816,더카페강서NC9층점,,,,,
MA0101202406A0415743,더카페공덕,데시앙점,,,,13
MA0101202411A0053035,더카페구로전화국,사거리점,4.7,7.0,4.6,16
MA0101202409A0238434,더카페독산역1번,출구점,5.0,11.0,4.51,135
MA0101202305A0159326,더카페롯데마트,잠실점,1.0,1.0,4.39,2
MA0101202307A0036941,더카페성대,시장점,,,,78
MA010120220803594603,더카페송파,가락점,4.6,9.0,4.36,41
MA0101202406A0516739,더카페신방,,3.0,5.0,,
MA0101202406A0053289,더카페신방,,3.0,2.0,,
MA010120220807720573,더카페엔숙대,정문점,,,4.34,15
MA010120220800366631,더카페엔여의도점,백화점,1.0,1.0,,13
MA0101202211A0003385,더카페여의도점,백화점,5.0,1.0,,29
MA0101202409A0089726,더카페영등포,구청점,5.0,1.0,,14
MA0101202406A0002483,더카페용문,사거리점,3.5,4.0,4.34,15
MA0101202306A0106392,더카페중계은행,사거리점,5.0,1.0,,14
MA010120220808624602,더카페하임즈,,5.0,4.0,,0
MA010120220803781650,더커피,,,,4.41,6
MA010120220800041328,더커피,,,,4.41,6
MA010120220808561253,더커피,,5.0,1.0,4.41,6
MA010120220812308670,더커피,,,,4.41,6
MA010120220813592152,더커피집,양재점,4.7,3.0,4.02,"1,098"
MA010120220803675392,더컴포트커피,,4.2,13.0,4.37,22
MA010120220800128718,더컵,,,,,0
MA0101202406A0577042,더케이에프엔비이프유캔,,,,,
MA0101202406A0567363,더케이에프엔비파스타다,,,,,
MA010120220808420924,더케이즈커피,,4.0,1.0,4.31,2
MA0101202307A0089360,더코너샵,,4.3,3.0,,10
MA010120220800229742,더코너커피,,,,4.37,15
MA010120220812988877,더크레딧,,4.7,39.0,4.66,108
MA010120220806652344,더크림,,3.7,30.0,,61
MA010120220808694070,더크림,,,,,61
MA010120220812463890,더킹스빈,,,,4.56,8
MA010120220807368229,더킹스빈,대학로점,,,4.56,8
MA010120220803041357,더테이블,,4.3,3.0,4.32,176
MA010120220809822933,더트리,,5.0,1.0,4.33,2
MA010120220810182771,더트커피,,,,,209
MA010120220806905812,더파이브,,,,4.51,165
MA010120220800593154,더파이홀,,4.1,390.0,4.53,"1,860"
MA010120220811627951,더팬,,5.0,8.0,4.51,43
MA010120220800213242,더퍼즐,,5.0,19.0,4.58,82
MA010120220800204275,더페이머스램,,,,4.45,838
MA0101202411A0117053,더프루티x솔다온차연구소,,,,,5
MA010120220805062465,더프트DUFT,,,,,44
MA010120220804227283,더플라잉팬주,,3.8,10.0,,
MA010120220805536872,더플랜오,,,,,
MA010120220809887618,더플랫커피로스터스,,,,4.77,112
MA010120220800512768,더플롯,,,,4.56,170
MA0101202406A0130718,더플롯커피,,4.0,12.0,4.56,170
MA010120220809965688,더플롯커피,,,,4.56,170
MA0101202411A0047817,더플롯커피,,,,4.56,170
MA0101202302A0022567,더플롯커피&플라워,성북점,,,,
MA010120220804995243,더피크,,,,4.6,385
MA010120220813147494,더하비스트,,5.0,9.0,4.49,26
MA010120220800040317,더한옥,,3.9,9.0,4.44,86
MA010120220813493682,더함,,,,4.31,652
MA010120220803448240,더홀릭보드게임카페수유역점,,4.4,5.0,,
MA010120220814015142,더홈서울,,3.8,41.0,4.38,660
MA010120220812203764,더후드,,,,,
MA010120220802347667,더힐세일즈라인스,,,,,
MA010120220800124120,덕수궁전통차전문,,,,,
MA0101202210A0003246,덕수궁커피,,,,,30
MA010120220800577979,덕인,,,,3.7,7
MA010120220810284288,덕카페,,5.0,5.0,4.29,127
MA010120220804429137,덕희커피,,4.9,43.0,5.0,179
MA0101202210A0001484,던던,,,,,188
MA010120220800143345,던에이비씨,,,,,
MA010120220800023619,덤,,,,,42
MA0101202406A0077680,덤밸리,,4.5,4.0,,71
MA0101202406A0416622,덤보,,5.0,3.0,,25
MA0101202406A0222993,덤브다이버,,5.0,3.0,,59
MA0101202307A0040395,덤프카페,,,,,
MA0101202308A0025712,덩크커피,,,,,462
MA0101202411A0060094,데네브,,5.0,9.0,,45
MA0101202210A0101678,데니스커피,암사점,5.0,2.0,4.68,8
MA010120220812028391,데니스커피,명지대점,2.8,4.0,4.68,8
MA010120220813620246,데니스커피,,3.5,2.0,4.68,8
MA0101202406A0449043,데니스커피,,5.0,1.0,4.68,8
MA010120220813948650,데니스커피남강점,,1.2,10.0,4.41,8
MA010120220804608423,데니스크로플팩토리,,5.0,11.0,,11
MA010120220800285096,데드비트클럽,,3.2,10.0,,69
MA0101202311A0096974,데메테르,,,,,6
MA010120220803972691,데미타스,,3.7,3.0,4.47,338
MA010120220800743175,데미타스,,,,4.47,338
MA010120220807022749,데바40,,,,,
MA010120220809790974,데바스테이트청담,,4.3,28.0,4.43,404
MA0101202305A0188372,데보,,,,4.3,736
MA010120220806533035,데뷰,,,,,2
MA010120220800808012,데스칸사르,,,,,
MA0101202406A0400466,데스칸소,,,,,8
MA010120220804340076,데시데,,4.8,48.0,,213
MA010120220800367617,데시앙루브103-1호,,,,,
MA010120220803114277,데쎄르룸,,4.6,21.0,,262
MA010120220811810706,데어무트,,5.0,5.0,,24
MA010120220812491495,데어유고,,4.7,23.0,4.9,252
MA010120220811629887,데얼커피,,3.8,8.0,,505
MA0106202201A0047341,데우스엑스마키나와우산,,,,,
MA0101202411A0073814,데이,,5.0,2.0,,23
MA0101202406A0041889,데이넌daynone,,4.7,3.0,,151
MA010120220805629360,데이데이,,5.0,7.0,,23
MA010120220806743112,데이로우,,3.6,61.0,4.55,718
MA0101202209A0022180,데이롱까페강서,화곡점,5.0,1.0,,1
MA010120220809237796,데이롱카페,,5.0,2.0,,10
MA0101202307A0082692,데이롱카페강남,역삼점,5.0,2.0,,
MA0101202308A0079466,데이롱카페강북,미아점,5.0,2.0,,2
MA010120220808618456,데이롱카페개봉한진점,,5.0,2.0,,3
MA010120220813786262,데이롱카페건대,후문점,3.0,1.0,,1
MA0101202309A0074191,데이롱카페구로,중앙점,1.0,1.0,,3
MA0101202309A0081946,데이롱카페구로중앙하이츠점,,,,,3
MA0101202311A0057006,데이롱카페까치산역점,,,,,2
MA0101202310A0073316,데이롱카페대림현대점,,,,,0
MA0101202211A0002076,데이롱카페사당남성점,,3.8,5.0,,1
MA0101202308A0104161,데이롱카페상도점,,1.0,1.0,,1
MA0101202309A0087991,데이롱카페석계역점,,,,,1
MA0101202302A0089593,데이롱카페성북정릉점,,5.0,1.0,,10
MA0101202411A0060127,데이롱카페여의도,랜드마크점,,,,8
MA010120220810311976,데이롱카페오류역점,,3.7,3.0,,7
MA0101202309A0024566,데이롱카페왕십리무학봉점,,,,,1
MA0101202303A0095591,데이롱카페우,장산점,5.0,3.0,,
MA010120220810554730,데이롱카페정릉국민대점,,5.0,3.0,,10
MA0101202212A0027223,데이롱카페화곡,오거리점,4.0,2.0,,7
MA0101202308A0069976,데이블러,,4.5,32.0,,435
MA0101202303A0023878,데이스타,,,,4.61,46
MA010120220813243504,데이스타,,,,4.61,46
MA010120220812811930,데이오프,,4.5,4.0,,12
MA0101202212A0034826,데이원,,,,,76
MA010120220810362364,데이원커피바,,4.7,33.0,,186
MA010120220813854726,데이즈라이크디스,,4.8,21.0,,110
MA010120220812151843,데이즈앤데이즈,,,,,
MA010120220808120964,데이즈앤하하코,,,,,
MA0106202201A1299846,데이즈커피,,,,4.84,27
MA0101202307A0077441,데이지,,,,,269
MA0101202301A0049313,데이커피,,5.0,4.0,,0
MA0101202302A0099395,데이틴커피,,,,,
MA0101202309A0019743,데커스,,5.0,3.0,,26
MA010120220808289925,데코아발림,,4.4,92.0,4.56,548
MA010120220813297620,데헤사에프앤비카페드리옹,,,,,
MA0101202305A0000562,덴앤데어,,4.8,16.0,,186
MA010120220809369278,델디아,,4.9,9.0,4.48,45
MA0101202310A0003765,델랑시베이글,,4.7,13.0,,247
MA0101202406A0063153,델루나카페&갤러리,,,,,38
MA0101202411A0090456,델룰루,,,,,10
MA010120220811748704,델리나인,,,,,1
MA010120220800280678,델리뉴스,,,,4.39,11
MA010120220800881325,델리뉴스,,4.7,3.0,4.39,11
MA010120220813220050,델리뉴스구로에이스,,5.0,1.0,,
MA0101202308A0010964,델리마이크,,5.0,11.0,,19
MA010120220810256667,델리백,코리아,3.4,19.0,4.75,95
MA010120220812122592,델리아띠,,3.8,4.0,4.14,29
MA010120220800544386,델리에또,,2.9,7.0,4.37,95
MA010120220800013605,델리카,,3.9,9.0,4.41,31
MA010120220813752722,델리카시스,,,,,
MA010120220800362794,델리코,,,,,1
MA010120220804760460,델링유,,,,,
MA010120220800212117,델문도,,2.8,72.0,,155
MA010120220813154593,델커피,,,,,363
MA010120220807732887,델픽안국지점,,4.1,40.0,,
MA010120220800075494,뎀셀브즈,,5.0,1.0,,4
MA010120220803025529,뎁스Depth,,,,,
MA0101202409A0174392,뎁트커피,,4.0,2.0,,51
MA010120220811685975,도곡동쌍커피,,,,,
MA0101202409A0064035,도그커피,,5.0,1.0,,4
MA010120220813390135,도기커피,,,,4.56,0
MA010120220807490442,도깨비커피,,,,,1
MA010120220800194027,도깨비커피집,,4.6,26.0,,71
MA010120220808667191,도나파스텔,,,,4.39,21
MA010120220805959905,도넛홀릭,,,,,
MA010120220810067374,도노커피배롱나무카페,,3.0,1.0,,
MA010120220811231482,도노커피한라원앤원타워,,5.0,1.0,,
MA0101202411A0014104,도담커피,,,,,2
MA010120220800767107,도담테크,,,,,
MA010120220810156482,도담한방찻집,,,,,
MA0101202406A0187214,도도한댕댕,,5.0,9.0,,
MA0101202303A0010140,도라,,,,,1
MA010120220812878266,도란도란카페,,5.0,2.0,4.5,4
MA0101202311A0078539,도레미,,4.0,1.0,,12
MA0101202310A0043644,도렐,,2.9,68.0,4.45,997
MA010120220804988524,도로도로커피숍,,4.2,48.0,4.67,353
MA010120220814320466,도로시,,,,4.67,42
MA0101202409A0093285,도로시쿠케Dorothycookae,,,,,7
MA010120220802727479,도론수제,,3.5,2.0,5.0,15
MA0101202305A0101198,도롱뇽,,,,,"1,146"
MA0101202406A0489273,도리앤도리스,,5.0,18.0,,
MA0101202406A0067037,도망,,,,,114
MA0101202303A0072077,도몽,,,,,2
MA010120220806933462,도미넌트,,,,4.56,466
MA010120220802355371,도바,,,,,
MA010120220813119031,도반에이치씨,,,,,
MA0101202409A0089350,도베르,,,,,86
MA010120220809870655,도본,,3.8,17.0,4.7,120
MA0101202409A0185985,도본상계역점,,5.0,4.0,,17
MA010120220800525679,도봉산만남의광장,,,,,4
MA010120220813806306,도봉산커피,,4.5,18.0,4.44,60
MA010120220805226488,도비네,,,,,3
MA010120220807087759,도산그릭,,,,,3
MA0101202212A0014964,도서관가는길,,5.0,2.0,4.36,9
MA010120220800064237,도서출판에이앤에이,,,,,
MA010120220804450541,도스,,,,,98
MA010120220810076538,도어401,,,,,
MA010120220812226653,도우터,,4.4,200.0,4.49,"1,497"
MA010120220800561014,도이타로카페,,4.0,2.0,4.6,24
MA0101202406A0291727,도즈,,,,,0
MA010120220804984031,도즈렛커피,,4.4,11.0,4.76,115
MA010120220804132364,도채가비,,5.0,10.0,4.29,7
MA010120220811893896,도채비도반한찻집,,4.3,12.0,4.47,134
MA010120220808406541,도카,,4.4,12.0,4.7,144
MA010120220810022340,도코로,,3.5,24.0,4.43,101
MA0101202311A0075070,도콘,,4.9,17.0,,23
MA010120220812479817,도킹,,4.2,20.0,4.49,255
MA010120220803767414,도토루커피OS,,,,4.53,207
MA010120220810656887,도토리,,3.2,249.0,,69
MA010120220810290595,도토리&다람쥐,,,,4.67,358
MA010120220811658220,도토리소년,,4.8,35.0,4.7,177
MA010120220812587893,도토리카페,,,,4.23,3
MA010120220803485488,도통,,,,,124
MA0101202303A0066767,도틀,,,,,11
MA0101202211A0048599,도프,,4.8,21.0,,428
MA0101202305A0159753,도프앙,,4.9,26.0,,123
MA0101202406A0163137,도프커피,마곡점,5.0,6.0,4.58,546
MA010120220807209028,도프커피,,4.8,8.0,4.58,546
MA0101202308A0003128,도프커피DMC이안점,,5.0,7.0,,18
MA010120220806903110,도프커피상암아이티점,,5.0,2.0,,
MA010120220809824500,도프커피서,여의도점,4.6,5.0,,
MA010120220812794430,도피오로스터리,,4.7,57.0,4.66,89
MA010120220800835123,도화,,,,,225
MA010120220805693535,도화당,,,,,738
MA010120220813797768,도화동베이글,,4.0,6.0,4.44,"5,641"
MA010120220800691218,도화상점,,,,,
MA010120220800667127,도화아파트먼트,,2.7,47.0,,474
MA0101202411A0186499,도화아파트먼트한강로,,4.5,6.0,,85
MA010120220810495029,도회,,4.9,21.0,,134
MA010120220807014750,독수리다방,,4.2,140.0,4.5,651
MA0106202203A0659910,돈우정.빽다방역삼GS점,,3.7,6.0,,
MA010120220804456366,돈우정;빽다방역삼GS점,,3.7,6.0,,
MA010120220800715359,돌다방,,,,,0
MA0101202306A0025005,돌담마루커피바,,4.9,7.0,,55
MA010120220809206337,돌담커피,,5.0,4.0,4.48,3
MA010120220806783531,돌돌,,3.8,8.0,,18
MA0106202303A2117369,돌상cafe돌상카페,,,,,3
MA010120220800915909,돌스트,,3.7,3.0,4.64,32
MA010120220808542892,돌우물,,,,4.15,2
MA010120220814103923,돌체다방,,,,,0
MA010120220804151367,돌체커피호프,,,,,
MA0101202409A0074290,돌체테이블,,,,,18
MA010120220812941074,돌체파르니엔,,,,,
MA010120220810034909,돌커피,,,,,23
MA010120220803766789,돔카페,,,,4.14,1
MA0101202411A0059219,동감,,4.5,2.0,,75
MA010120220804124416,동감,,,,,75
MA010120220800169314,동강에프앤비주,,,,,
MA010120220801910094,동건스애견카페,,4.4,14.0,,
MA0101202406A0325193,동경책방,,3.4,14.0,,172
MA010120220811877889,동그라미,,,,4.83,0
MA010120220800858264,동그라미,,,,4.83,0
MA010120220809935911,동그라미병과점,,4.7,9.0,4.95,19
MA010120220812470691,동네작은커피,,3.0,2.0,4.5,2
MA0101202212A0046003,동네카페,,5.0,1.0,,20
MA010120220800623943,동네카페하하하,,4.5,6.0,,
MA010120220806787029,동네커피,,4.0,2.0,4.46,16
MA010120220800026481,동네커피,,4.4,17.0,4.46,16
MA0101202307A0025181,동묘앞구제,,,,4.59,905
MA0101202311A0062099,동묘의,,4.8,4.0,,11
MA010120220803489550,동방,,5.0,3.0,4.77,443
MA010120220800624033,동방사회복지회,,,,,
MA010120220813604880,동백양과점,,2.9,139.0,,"1,688"
MA0106202201A0925922,동봉,,,,,99
MA010120220805958253,동봉커피,,,,,99
MA010120220803733923,동부다방,,3.7,3.0,4.54,2
MA0101202406A0153853,동소문동커피집,,,,4.79,459
MA010120220808398055,동소문피스커피,,4.6,8.0,4.55,29
MA010120220803586442,동숭동커피,,,,4.54,788
MA010120220806855530,동신매니지먼트,,,,,
MA010120220803756976,동아,,,,4.35,162
MA010120220803684695,동아쏘시오그룹공제회,,1.0,2.0,4.43,0
MA010120220803349430,동원홈푸드샌드프레소동원F&B빌딩점,,,,,
MA010120220809987651,동원홈푸드샌드프레소스페셜티,용산아이파크몰점,,,,
MA010120220804212061,동원홈푸드샌드프레소양재본사점주,,,,,
MA010120220800398383,동원홈푸드샌드프레소한투점주,,4.0,1.0,,
MA0101202409A0087862,동이네,,,,4.35,0
MA010120220813289597,동작카페,,4.0,20.0,4.41,"1,049"
MA0101202311A0080141,동행,,,,4.4,2
MA010120220803063283,동행,,5.0,1.0,4.4,2
MA0101202406A0015067,돼지와플,,,,,0
MA0101202311A0048735,돼지와플앤마더죽강서점,,,,,0
MA010120220812919702,둏다,,,,,
MA010120220811675775,두구두구,,4.7,21.0,4.72,157
MA010120220809196844,두그루커피,,3.7,3.0,,11
MA010120220800183729,두나미스커피,보라매점,3.8,8.0,4.33,1
MA0101202212A0024581,두눈,,,,,
MA0101202308A0093139,두댓커피,,5.0,6.0,,110
MA010120220806568029,두더지손,,,,,
MA010120220813799301,두들,,5.0,4.0,4.77,91
MA010120220804284520,두들,,,,4.77,91
MA0101202406A0499758,두들렌,,,,,30
MA010120220806669026,두란노커피,,,,4.17,0
MA0106202306A1052366,두란노커피,,4.3,16.0,4.17,0
MA010120220800181817,두레차,,3.6,32.0,,0
MA010120220811736655,두리몰,,,,,3
MA0101202409A0138156,두리안디저트카페,,4.4,19.0,4.28,150
MA010120220808231851,두리앤커피,,,,,
MA0101202303A0044318,두마땡,,5.0,1.0,,8
MA010120220812118645,두모망,,,,,
MA0101202307A0080895,두목커피,,,,4.46,112
MA010120220813905166,두바이커피,,,,,34
MA0101202311A0083488,두번째디저트,,,,4.44,"1,260"
MA010120220808479640,두부커피,,4.7,6.0,4.72,28
MA010120220811716576,두산-타이거슈가,,,,,
MA010120220809586174,두산카페더치즈케익,,,,,
MA010120220810824365,두성디앤씨,,,,,
MA0101202303A0086835,두월,,,,4.17,132
MA010120220812277430,두즈,,4.6,40.0,4.46,398
MA0101202301A0100557,두커피,,5.0,1.0,4.8,4
MA0106202301A0097667,두희실업,,,,,
MA010120220803179274,둔촌동잇다,,4.5,26.0,4.49,222
MA010120220805474840,둔촌커피,,5.0,1.0,,5
MA010120220810220646,둘세,,5.0,3.0,4.62,99
MA010120220808036476,둘쎄데레체,,4.6,5.0,,
MA010120220814329271,둡커피바,,,,,
MA010120220810093509,둥지,,,,,57
MA0101202406A0341956,둥지,,4.8,13.0,,57
MA010120220812246245,둥지Oh!그린바,,,,,9
MA0101202409A0067538,둥지커피호프,,,,,0
MA010120220810021318,뒤팡프레디자인에이블,,,,,
MA010120220806648544,듀드롭S,,3.7,7.0,,
MA010120220812645960,듀드롭르봉땅,,4.8,4.0,,
MA010120220808311297,듀레스트,,4.2,27.0,,615
MA010120220803192120,듀몽드,,,,,780
MA0101202303A0041864,듀엣커피DUETCOFFEE,,3.5,11.0,,64
MA0101202307A0099095,듀오,,5.0,10.0,4.42,5
MA0101202303A0090297,듀오란스,,4.5,2.0,,
MA010120220805068897,듀윗,,,,4.58,919
MA010120220805091239,듀이,,4.4,11.0,,27
MA010120220814274820,듀케이크,,5.0,4.0,,19
MA010120220800818694,듀콘,,,,,
MA0101202310A0099127,드디어커피경찰청점,,,,,1
MA010120220814259845,드디어커피경찰청점,,,,,1
MA010120220813725458,드디어커피원남점,,3.6,5.0,4.3,15
MA010120220805423562,드라쏠,,,,,
MA010120220813490738,드래곤마운틴,,,,4.22,3
MA0101202211A0014494,드래곤힐프린트샵,,4.2,5.0,,31
MA010120220813537232,드럭스토어커피,,4.8,4.0,4.42,18
MA010120220813395706,드로우에스프레소바,,4.8,93.0,4.86,556
MA010120220803974343,드롭바이드롭,,4.3,9.0,4.32,86
MA010120220805029491,드롭탑,홍대점,2.2,17.0,,61
MA0106202201A0605352,드롭탑M,합정역점,,,,
MA0106202201A0605354,드롭탑삼성카드고객서비스점,,,,,
MA0101202210A0044894,드리머커피,,5.0,3.0,,
MA0101202305A0033901,드리즐러,,4.6,5.0,,11
MA010120220813183320,드리체커피,,5.0,2.0,4.64,16
MA010120220807936570,드리퍼,,5.0,1.0,4.57,7
MA010120220813857233,드릭스커피,,5.0,1.0,,7
MA010120220813206434,드림라이크커피,,4.8,24.0,4.66,109
MA010120220813666076,드림카페,,5.0,4.0,4.41,7
MA0101202406A0189196,드림커피,,,,,0
MA010120220813988981,드림커피,,5.0,1.0,,0
MA010120220805537747,드림하이,,,,,
MA010120220800773567,드림휴,,,,,
MA010120220812653269,드립드랍,,,,,8
MA010120220813976419,드립팩토리,,4.5,2.0,4.52,17
MA010120220800511623,드립하우스,화곡점,3.5,4.0,4.23,7
MA010120220813807178,드립하우스,,5.0,4.0,4.23,7
MA010120220801807194,드립하우스,,4.8,13.0,4.23,7
MA010120220812164995,드링커,,5.0,5.0,,17
MA010120220800925789,드링크맨션,,,,5.0,36
MA010120220800220827,드링크박스,,4.8,6.0,,8
MA0101202311A0061027,들꽃커피맥주,,,,,0
MA010120220810881781,들다방,,4.8,6.0,4.5,7
MA010120220803197919,들다방,,4.8,6.0,4.5,7
MA010120220805153274,등선재,,4.5,51.0,4.63,396
MA0101202406A0398028,디14963,,4.0,3.0,,
MA010120220800041887,디끌레,,4.4,25.0,,170
MA0101202409A0153756,디데이원,,3.2,19.0,,"1,750"
MA010120220804390158,디드릭,노원점,,,,
MA0101202406A0111221,디디디,,4.3,6.0,,33
MA0101202409A0088990,디디디알,,,,,11
MA0101202308A0034909,디디디알캔&보틀커피신림,본점,,,,71
MA0101202406A0471452,디디디알캔앤보틀커피,독산점,,,,71
MA010120220808469046,디디카페,,,,,5
MA0101202406A0159616,디디카페,,,,,5
MA010120220814145226,디리베,,,,,
MA0101202306A0091635,디맨드,,5.0,5.0,,64
MA010120220802085837,디무무,,5.0,10.0,,
MA010120220812212857,디바,,3.0,6.0,4.83,0
MA010120220803604398,디벙크,,3.9,137.0,4.31,948
MA0101202406A0541753,디비더블유디,,,,,5
MA0101202406A0249760,디빈라운지,,2.0,2.0,,123
MA0101202406A0161547,디셈버텐,,5.0,1.0,,6
MA010120220803537549,디스이즈마인,,3.7,3.0,4.54,62
MA0101202308A0068514,디스코볼로스,,4.5,24.0,,72
MA010120220812992125,디스코커피,,5.0,7.0,,72
MA010120220804289213,디스코플래닛,,4.7,33.0,4.65,98
MA010120220805987695,디스타갤러리,,,,,
MA010120220812568891,디스턴스,,4.8,13.0,4.75,152
MA0101202307A0004712,디스페이스,,5.0,1.0,4.79,190
MA010120220803319237,디시테브랜드,,,,,
MA010120220803148585,디싸이시브모먼트,,4.1,13.0,4.5,117
MA010120220800601741,디아모르,,,,,
MA0101202309A0080460,디알씨홍대,,,,,28
MA010120220800867421,디앤비,,,,4.24,0
MA010120220812852495,디앤제이,,,,,54
MA0101202301A0095511,디어,,,,,17
MA0101202409A0101868,디어;타임,,5.0,2.0,,
MA010120220813464352,디어다온,,,,,403
MA010120220809839897,디어데이,,4.6,39.0,4.7,82
MA0101202305A0120075,디어마이,,,,4.5,19
MA0101202411A0137352,디어마이디어,,,,,6
MA0101202306A0068983,디어마이슈페너Dearmyxpanner,,,,,
MA010120220802887457,디어마이요거트,,,,,77
MA010120220809894068,디어마이플라워,,5.0,2.0,4.46,19
MA010120220806476252,디어모먼트,,4.1,26.0,,423
MA010120220813958265,디어블라썸,,4.3,61.0,4.54,489
MA010120220813206101,디어테이블,,2.8,12.0,,338
MA010120220809796050,디어파인,,4.9,19.0,4.71,133
MA010120220800926370,디어포레스트,,,,4.36,10
MA0101202309A0083065,디얼베이크,,5.0,7.0,,24
MA0101202303A0007248,디에떼지앤씨글로벌,,,,,
MA0101202307A0090117,디에떼지앤씨글로벌,,,,,
MA0101202303A0014008,디에떼지앤씨글로벌,,,,,
MA010120220808041684,디에즈마를리,코리아,3.3,152.0,,
MA010120220812374592,디에치앤카페테리움,,5.0,2.0,,
MA0101202406A0293539,디에타,,5.0,3.0,,139
MA010120220814345639,디엔에이벤처스제삼호,,,,,
MA010120220809597699,디엔에이벤처스제삼호,,,,,
MA010120220806473256,디엔에이벤처스제이호,,,,,
MA010120220806674731,디엠에이치커피,,5.0,1.0,,
MA010120220813074806,디엠커피,,,,4.72,2
MA010120220804891251,디오더,,4.1,12.0,4.5,12
MA010120220807879488,디오리진,,3.4,17.0,4.84,242
MA010120220814205655,디오브닝,,4.8,8.0,,65
MA010120220810077233,디와이에이치,,,,,
MA010120220808646650,디이알커피,,4.7,11.0,4.59,33
MA0101202209A0094015,디자이너리카페,,3.8,86.0,4.49,"1,065"
MA010120220806594570,디자인루트컴퍼니,,,,,
MA010120220814138033,디자인정인플러스,,,,,
MA010120220807385056,디저브,,,,,
MA010120220807721966,디저트39,,2.2,11.0,,8
MA0101202310A0028358,디저트39,상암DMC점,5.0,5.0,,8
MA010120220807790932,디저트39,신월점,2.2,11.0,,8
MA0101202409A0046197,디저트39,,,,,8
MA010120220804949894,디저트39,건대점,4.2,16.0,,8
MA010120220813272364,디저트39,한양대점,2.3,16.0,,8
MA010120220808379780,디저트39,,3.3,9.0,,8
MA0101202308A0067846,디저트39,이대점,3.8,9.0,,8
MA010120220808535016,디저트39,대치점,3.6,8.0,,8
MA010120220800372924,디저트39,,3.6,9.0,,8
MA0101202306A0089759,디저트39,길동점,5.0,3.0,,8
MA010120220814002278,디저트39,,3.0,2.0,,8
MA010120220814170727,디저트39,성신여대점,3.4,13.0,,8
MA0101202310A0024876,디저트39,,5.0,2.0,,8
MA010120220800376394,디저트39,교대점,3.1,14.0,,8
MA0101202311A0042266,디저트39,,3.3,4.0,,8
MA0101202305A0136703,디저트39,홍대점,4.2,5.0,,8
MA010120220806520491,디저트39,강남역점,3.1,14.0,,8
MA010120220805308558,디저트39,명지대점,2.8,8.0,,8
MA0101202406A0343132,디저트39,구파발역점,4.3,6.0,,8
MA0101202306A0011314,디저트39,,1.9,9.0,,8
MA010120220808784886,디저트39,,3.3,3.0,,8
MA0101202303A0013132,디저트39,삼성점,,,,8
MA010120220806828259,디저트39,,5.0,2.0,,8
MA010120220810069242,디저트39,,3.1,7.0,,8
MA0101202406A0029731,디저트39,,2.2,11.0,,8
MA0101202305A0020065,디저트39,합정역점,3.0,3.0,,8
MA0101202210A0064661,디저트39가산한라원앤원점,,4.5,4.0,,31
MA0101202306A0079747,디저트39강남1,,3.1,14.0,,
MA0101202305A0194263,디저트39강변역점,,4.2,5.0,,88
MA010120220812819476,디저트39거여역점,,5.0,5.0,,37
MA010120220804915727,디저트39구로,구청점,4.0,14.0,,15
MA0101202406A0380230,디저트39구로디지털단지역점,,3.8,19.0,4.32,64
MA010120220808106133,디저트39구로혜리움점,,4.3,3.0,,
MA010120220808249696,디저트39군자점,,3.9,11.0,,38
MA010120220811225505,디저트39금천,시흥점,3.4,8.0,,31
MA0101202411A0120042,디저트39대치,중앙점,5.0,2.0,,154
MA010120220808638397,디저트39등촌역점,,3.6,9.0,4.57,76
MA0101202406A0035054,디저트39마포월드컵북로점,,4.5,2.0,,13
MA0101202406A0235813,디저트39미아사거리역점,,4.2,5.0,,8
MA010120220810593280,디저트39방배,중앙점,4.0,5.0,,19
MA010120220803305106,디저트39방배서래점,,4.6,5.0,,39
MA0101202306A0089978,디저트39상일동역점,,4.4,28.0,4.57,87
MA010120220809795013,디저트39서울대,입구점,,,,3
MA0101202406A0410589,디저트39서울대벤처타운점,,2.7,7.0,,
MA0101202210A0076974,디저트39수유역점,,3.9,8.0,,56
MA0101202310A0020009,디저트39신,용산점,4.6,10.0,,18
MA010120220814220471,디저트39신대방삼거리역점,,,,,14
MA0101202409A0017528,디저트39신림역점,,2.3,11.0,4.49,74
MA010120220808288512,디저트39신사역점,,5.0,9.0,,45
MA010120220800792638,디저트39이수역점,,5.0,1.0,,39
